timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,1758,Login page,200,OK,Users 1-3,text,TRUE,,39365,268,6,6,https://qa.cilsy.id/symfony/web/index.php,54,0,4
1.61E+12,57,Login page-0,301,Moved Permanently,Users 1-3,text,TRUE,,580,134,6,6,http://qa.cilsy.id/symfony/web/index.php,54,0,4
1.61E+12,1698,Login page-1,200,OK,Users 1-3,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1692,0,1236
1.61E+12,2399,Login page,200,OK,Users 1-1,text,TRUE,,39365,268,6,6,https://qa.cilsy.id/symfony/web/index.php,712,0,83
1.61E+12,715,Login page-0,301,Moved Permanently,Users 1-1,text,TRUE,,580,134,6,6,http://qa.cilsy.id/symfony/web/index.php,712,0,83
1.61E+12,1682,Login page-1,200,OK,Users 1-1,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1666,0,1225
1.61E+12,2610,Login page,200,OK,Users 1-2,text,TRUE,,39365,268,7,7,https://qa.cilsy.id/symfony/web/index.php,543,0,4
1.61E+12,546,Login page-0,301,Moved Permanently,Users 1-2,text,TRUE,,580,134,7,7,http://qa.cilsy.id/symfony/web/index.php,543,0,4
1.61E+12,2061,Login page-1,200,OK,Users 1-2,text,TRUE,,38785,134,7,7,https://qa.cilsy.id/symfony/web/index.php,2049,0,1401
1.61E+12,1349,Login page,200,OK,Users 1-5,text,TRUE,,39365,268,7,7,https://qa.cilsy.id/symfony/web/index.php,9,0,3
1.61E+12,9,Login page-0,301,Moved Permanently,Users 1-5,text,TRUE,,580,134,7,7,http://qa.cilsy.id/symfony/web/index.php,9,0,3
1.61E+12,1339,Login page-1,200,OK,Users 1-5,text,TRUE,,38785,134,7,7,https://qa.cilsy.id/symfony/web/index.php,1336,0,809
1.61E+12,672,"Admin, General Information",200,OK,Users 1-1,text,TRUE,,39446,350,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,437,0,0
1.61E+12,437,"Admin, General Information-0",301,Moved Permanently,Users 1-1,text,TRUE,,662,175,7,7,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,437,0,0
1.61E+12,234,"Admin, General Information-1",200,OK,Users 1-1,text,TRUE,,38784,175,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,228,0,0
1.61E+12,698,"Admin, General Information",200,OK,Users 1-3,text,TRUE,,39446,350,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,440,0,0
1.61E+12,440,"Admin, General Information-0",301,Moved Permanently,Users 1-3,text,TRUE,,662,175,7,7,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,440,0,0
1.61E+12,258,"Admin, General Information-1",200,OK,Users 1-3,text,TRUE,,38784,175,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,253,0,0
1.61E+12,449,"Admin, General Information",200,OK,Users 1-2,text,TRUE,,39446,350,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,96,0,0
1.61E+12,96,"Admin, General Information-0",301,Moved Permanently,Users 1-2,text,TRUE,,662,175,8,8,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,96,0,0
1.61E+12,352,"Admin, General Information-1",200,OK,Users 1-2,text,TRUE,,38784,175,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,348,0,0
1.61E+12,1146,Login page,200,OK,Users 1-6,text,TRUE,,39365,268,8,8,https://qa.cilsy.id/symfony/web/index.php,9,0,4
1.61E+12,9,Login page-0,301,Moved Permanently,Users 1-6,text,TRUE,,580,134,8,8,http://qa.cilsy.id/symfony/web/index.php,9,0,4
1.61E+12,300,"Admin, General Information",200,OK,Users 1-5,text,TRUE,,39446,350,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,7,0,0
1.61E+12,1136,Login page-1,200,OK,Users 1-6,text,TRUE,,38785,134,8,8,https://qa.cilsy.id/symfony/web/index.php,1132,0,680
1.61E+12,7,"Admin, General Information-0",301,Moved Permanently,Users 1-5,text,TRUE,,662,175,8,8,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,7,0,0
1.61E+12,292,"Admin, General Information-1",200,OK,Users 1-5,text,TRUE,,38784,175,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,286,0,0
1.61E+12,250,"Admin, General Information",200,OK,Users 1-6,text,TRUE,,39446,350,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,9,0,0
1.61E+12,10,"Admin, General Information-0",301,Moved Permanently,Users 1-6,text,TRUE,,662,175,8,8,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,9,0,0
1.61E+12,239,"Admin, General Information-1",200,OK,Users 1-6,text,TRUE,,38784,175,8,8,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,234,0,0
1.61E+12,678,"Attendance, Employee Record",200,OK,Users 1-1,text,TRUE,,39428,332,9,9,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,420,0,0
1.61E+12,420,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-1,text,TRUE,,644,166,9,9,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,420,0,0
1.61E+12,258,"Attendance, Employee Record-1",200,OK,Users 1-1,text,TRUE,,38784,166,9,9,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,254,0,0
1.61E+12,1140,Login page,200,OK,Users 1-7,text,TRUE,,39365,268,9,9,https://qa.cilsy.id/symfony/web/index.php,9,0,4
1.61E+12,9,Login page-0,301,Moved Permanently,Users 1-7,text,TRUE,,580,134,9,9,http://qa.cilsy.id/symfony/web/index.php,9,0,4
1.61E+12,1130,Login page-1,200,OK,Users 1-7,text,TRUE,,38785,134,9,9,https://qa.cilsy.id/symfony/web/index.php,1128,0,681
1.61E+12,659,"Attendance, Employee Record",200,OK,Users 1-3,text,TRUE,,39428,332,9,9,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,383,0,0
1.61E+12,384,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-3,text,TRUE,,644,166,9,9,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,383,0,0
1.61E+12,275,"Attendance, Employee Record-1",200,OK,Users 1-3,text,TRUE,,38784,166,9,9,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,271,0,0
1.61E+12,256,"Attendance, Employee Record",200,OK,Users 1-6,text,TRUE,,39428,332,9,9,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
1.61E+12,6,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-6,text,TRUE,,644,166,9,9,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
